book_title,goodreads_id,isbn,isbn13,asin,image_url,publication_year,publication_month,publication_day,publisher,language_code,description,work,num_pages,format,url,link,authors,series_works
Rework,6732019,0307463745,9780307463746,"",http://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,2010,3,9,Crown Business,en-CA,"Most business books give you the same old advice: Write a business plan, study the competition, seek investors, yadda yadda. If you're looking for a book like that, put this one back on the shelf.<br><br><em>Rework </em>shows you a better, faster, easier way to succeed in business. Read it and you'll know why plans are actually harmful, why you don't need outside investors, and why you're better off ignoring the competition. The truth is, you need less than you think. You don't need to be a workaholic. You don't need to staff up. You don't need to waste time on paperwork or meetings. You don't even need an office. Those are all just excuses. <br><br> What you really need to do is stop talking and start working. This book shows you the way. You'll learn how to be more productive, how to get exposure without breaking the bank, and tons more counterintuitive ideas that will inspire and provoke you.<br><br>With its straightforward language and easy-is-better approach, <em>Rework </em>is the perfect playbook for anyone who’s ever dreamed of doing it on their own. Hardcore entrepreneurs, small-business owners, people stuck in day jobs they hate, victims of ""downsizing,"" and artists who don’t want to starve anymore will all find valuable guidance in these pages.","#<Hashie::Mash best_book_id=6732019 books_count=37 default_chaptering_book_id=nil default_description_language_code=nil desc_user_id=1 id=6928276 media_type=""book"" original_language_id=nil original_publication_day=nil original_publication_month=nil original_publication_year=2010 original_title=""Rework"" rating_dist=""5:20108|4:17471|3:11114|2:3662|1:1906|total:54261"" ratings_count=54261 ratings_sum=212996 reviews_count=109027 text_reviews_count=2181>",279,Hardcover,http://www.goodreads.com/book/show/6732019-rework,http://www.goodreads.com/book/show/6732019-rework,"[""Jason Fried"", ""David Heinemeier Hansson""]",""
Nurture Shock: New Thinking About Children,8538994,0446559415,9780446559416,"",http://d.gr-assets.com/books/1344266190m/8538994.jpg,,,,,,"In a world of modern, involved, caring parents, why are so many kids aggressive and cruel?  Where is intelligence hidden in the brain, and why does that matter?  Why do cross-racial friendships decrease in schools that are more integrated?  If 98% of kids think lying is morally wrong, then why do 98% of kids lie?  What's the single most important thing that helps infants learn language?<br><br><em>NurtureShock</em> is a groundbreaking collaboration between award-winning science journalists Po Bronson and Ashley Merryman.  They argue that when it comes to children, we've mistaken good intentions for good ideas.  With impeccable storytelling and razor-sharp analysis, they demonstrate that many of modern society's strategies for nurturing children are in fact backfiring--because key twists in the science have been overlooked.<br><br>Nothing like a parenting manual, the authors' work is an insightful exploration of themes and issues that transcend children's (and adults') lives.","#<Hashie::Mash best_book_id=6496815 books_count=33 default_chaptering_book_id=nil default_description_language_code=nil desc_user_id=1468895 id=6688299 media_type=""book"" original_language_id=nil original_publication_day=3 original_publication_month=9 original_publication_year=2008 original_title=""NurtureShock: New Thinking About Children"" rating_dist=""5:5548|4:7294|3:3234|2:628|1:177|total:16881"" ratings_count=16881 ratings_sum=68051 reviews_count=34550 text_reviews_count=2553>","","",http://www.goodreads.com/book/show/8538994-nurture-shock,http://www.goodreads.com/book/show/8538994-nurture-shock,"[""Po Bronson"", ""Ashley Merryman""]",""
A Thousand Splendid Suns,128029,1594489505,9781594489501,"",http://d.gr-assets.com/books/1345958969m/128029.jpg,2007,5,22,Riverhead Books,eng,"After 103 weeks on the New York Times bestseller list and with four million copies of The Kite Runner shipped, Khaled Hosseini returns with a beautiful, riveting, and haunting novel that confirms his place as one of the most important literary writers today.<br><br>Propelled by the same superb instinct for storytelling that made The Kite Runner a beloved classic, A Thousand Splendid Suns is at once an incredible chronicle of thirty years of Afghan history and a deeply moving story of family, friendship, faith, and the salvation to be found in love.<br><br>Born a generation apart and with very different ideas about love and family, Mariam and Laila are two women brought jarringly together by war, by loss and by fate. As they endure the ever escalating dangers around them—in their home as well as in the streets of Kabul—they come to form a bond that makes them both sisters and mother-daughter to each other, and that will ultimately alter the course not just of their own lives but of the next generation. With heart-wrenching power and suspense, Hosseini shows how a woman’s love for her family can move her to shocking and heroic acts of self-sacrifice, and that in the end it is love, or even the memory of love, that is often the key to survival.<br><br>A stunning accomplishment, A Thousand Splendid Suns is a haunting, heartbreaking, compelling story of an unforgiving time, an unlikely friendship, and an indestructible love.","#<Hashie::Mash best_book_id=128029 books_count=171 default_chaptering_book_id=nil default_description_language_code=nil desc_user_id=27200095 id=3271379 media_type=""book"" original_language_id=nil original_publication_day=nil original_publication_month=nil original_publication_year=2007 original_title=""A Thousand Splendid Suns"" rating_dist=""5:331309|4:230955|3:80349|2:14839|1:5098|total:662550"" ratings_count=662550 ratings_sum=2856188 reviews_count=959322 text_reviews_count=36624>",372,Hardcover,http://www.goodreads.com/book/show/128029.A_Thousand_Splendid_Suns,http://www.goodreads.com/book/show/128029.A_Thousand_Splendid_Suns,,
Bonk: The Curious Coupling of Science and Sex,2082136,0393064646,9780393064643,"",http://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,2008,3,17,W. W. Norton & Company,en-US,"The study of sexual physiology - what happens, and why, and how to make it happen better - has been a paying career or a diverting sideline for scientists as far-ranging as Leonardo da Vinci and James Watson. The research has taken place behind the closed doors of laboratories, brothels, MRI centers, pig farms, sex-toy R&amp;D labs, and Alfred Kinsey's attic.<br><br>Mary Roach, ""the funniest science writer in the country"" (Burkhard Bilger of 'The New Yorker'), devoted the past two years to stepping behind those doors. Can a person think herself to orgasm? Can a dead man get an erection? Is vaginal orgasm a myth? Why doesn't Viagra help women or, for that matter, pandas? <br><br>In 'Bonk', Roach shows us how and why sexual arousal and orgasm, two of the most complex, delightful, and amazing scientific phenomena on earth, can be so hard to achieve and what science is doing to slowly make the bedroom a more satisfying place. 16 illustrations.","#<Hashie::Mash best_book_id=2082136 books_count=37 default_chaptering_book_id=nil default_description_language_code=nil desc_user_id=1525599 id=2398516 media_type=""book"" original_language_id=nil original_publication_day=1 original_publication_month=1 original_publication_year=2008 original_title=""Bonk: The Curious Coupling of Science and Sex"" rating_dist=""5:8530|4:13085|3:8764|2:2057|1:597|total:33033"" ratings_count=33033 ratings_sum=125993 reviews_count=68646 text_reviews_count=3435>",319,Hardcover,http://www.goodreads.com/book/show/2082136.Bonk,http://www.goodreads.com/book/show/2082136.Bonk,,
"The Girl with the Dragon Tattoo (Millennium, #1)",2429135,0307269752,9780307269751,"",http://d.gr-assets.com/books/1327868566m/2429135.jpg,2008,9,16,Knopf,eng,"Mikael Blomkvist, a once-respected financial journalist, watches his professional life rapidly crumble around him. Prospects appear bleak until an unexpected (and unsettling) offer to resurrect his name is extended by an old-school titan of Swedish industry. The catch—and there's always a catch—is that Blomkvist must first spend a year researching a mysterious disappearance that has remained unsolved for nearly four decades. With few other options, he accepts and enlists the help of investigator Lisbeth Salander, a misunderstood genius with a cache of authority issues. Little is as it seems in Larsson's novel, but there is at least one constant: you really don't want to mess with the girl with the dragon tattoo.","#<Hashie::Mash best_book_id=2429135 books_count=223 default_chaptering_book_id=2732977 default_description_language_code=nil desc_user_id=18366743 id=1708725 media_type=""book"" original_language_id=nil original_publication_day=nil original_publication_month=8 original_publication_year=2005 original_title=""Män som hatar kvinnor"" rating_dist=""5:593879|4:510135|3:223842|2:68651|1:42684|total:1439191"" ratings_count=1439191 ratings_sum=5861447 reviews_count=1931864 text_reviews_count=57530>",465,Hardcover,http://www.goodreads.com/book/show/2429135.The_Girl_with_the_Dragon_Tattoo,http://www.goodreads.com/book/show/2429135.The_Girl_with_the_Dragon_Tattoo,"[""Stieg Larsson"", ""Reg Keeland""]","#<Hashie::Mash series_work=#<Hashie::Mash id=""158565"" series=#<Hashie::Mash description=""\n\n    <b>Also known as:\n    * Millenium \n    * Millénium\n    * Milenium\n    * Милениум\n    * 밀레니엄 \n    * ミレニアム\n    * Trilogia Millennium\n    * Millenium triologie\n    See also</b> <a href=\""http://www.goodreads.com/series/92001-millennium-the-graphic-novels\"">Millennium: The Graphic Novels</a>.\n\n"" id=""44598"" note=""\n\n    DO NOT REMOVE BOOKS FROM THIS SERIES WITHOUT ASKING IN THE LIBRARIAN GROUP FIRST.\n\n"" numbered=""true"" primary_work_count=""4"" series_works_count=""11"" title=""\n\n    Millennium\n\n""> user_position=""1"">>"
Naked,4138,0316777730,9780316777735,"",http://d.gr-assets.com/books/1394178867m/4138.jpg,1998,,,Back Bay Books,eng,"Welcome to the hilarious, strange, elegiac, outrageous world of David Sedaris. In Naked, Sedaris turns the mania for memoir on its ear, mining the exceedingly rich terrain of his life, his family, and his unique worldview-a sensibility at once take-no-prisoners sharp and deeply charitable. A tart-tongued mother does dead-on imitations of her young son's nervous tics, to the great amusement of his teachers; a stint of Kerouackian wandering is undertaken (of course!) with a quadriplegic companion; a family gathers for a wedding in the face of imminent death. Through it all is Sedaris's unmistakable voice, without doubt one of the freshest in American writing.","#<Hashie::Mash best_book_id=4138 books_count=53 default_chaptering_book_id=nil default_description_language_code=nil desc_user_id=7492276 id=2086690 media_type=""book"" original_language_id=nil original_publication_day=nil original_publication_month=nil original_publication_year=1997 original_title=""Naked"" rating_dist=""5:64319|4:71962|3:32832|2:6147|1:2173|total:177433"" ratings_count=177433 ratings_sum=722406 reviews_count=253480 text_reviews_count=4544>",304,Paperback,http://www.goodreads.com/book/show/4138.Naked,http://www.goodreads.com/book/show/4138.Naked,,
The Fortune Cookie Chronicles: Adventures in the World of Chinese Food,1002540,0446580074,9780446580076,"",http://d.gr-assets.com/books/1331425140m/1002540.jpg,,,,,en-US,"""If you think McDonald's is the most ubiquitous restaurant experience in America, consider that there are more Chinese restaurants in America than McDonalds, Burger Kings, and Wendys <em>combined</em>."" <br>— Jennifer 8 Lee, New York Times reporter and Chinese-American (or American-born Chinese).<br><br>In her search, Jennifer 8 Lee traces the history of Chinese-American experience through the lens of the food. In a compelling blend of sociology and history, Jenny Lee exposes the indentured servitude Chinese restaurants expect from illegal immigrant chefs, investigates the relationship between Jews and Chinese food, and weaves a personal narrative about her own relationship with Chinese food. <br><br><em>The Fortune Cookie Chronicles</em> speaks to the immigrant experience as a whole, and the way it has shaped our country.","#<Hashie::Mash best_book_id=1002540 books_count=9 default_chaptering_book_id=nil default_description_language_code=nil desc_user_id=4582872 id=4291556 media_type=""book"" original_language_id=nil original_publication_day=1 original_publication_month=1 original_publication_year=2008 original_title=""The Fortune Cookie Chronicles: Adventures in the World of Chinese Food"" rating_dist=""5:537|4:1374|3:1046|2:306|1:59|total:3322"" ratings_count=3322 ratings_sum=11990 reviews_count=6703 text_reviews_count=716>","","",http://www.goodreads.com/book/show/1002540.The_Fortune_Cookie_Chronicles,http://www.goodreads.com/book/show/1002540.The_Fortune_Cookie_Chronicles,,
"The Girl Who Played with Fire (Millennium, #2)",5060378,0307269981,9780307269980,"",http://d.gr-assets.com/books/1351778881m/5060378.jpg,2009,7,28,Alfred A. Knopf,eng,"Mikael Blomkvist, crusading journalist and publisher of the magazine <em>Millennium,</em> has decided to run a story that will expose an extensive sex trafficking operation between Eastern Europe and Sweden, implicating well-known and highly placed members of Swedish society, business, and government.<br><br>But he has no idea just how explosive the story will be until, on the eve of publication, the two investigating reporters are murdered. And even more shocking for Blomkvist: the fingerprints found on the murder weapon belong to Lisbeth Salander—the troubled, wise-beyond-her-years genius hacker who came to his aid in <em>The Girl with the Dragon Tattoo,</em> and who now becomes the focus and fierce heart of <em>The Girl Who Played with Fire.</em><br><br>As Blomkvist, alone in his belief in Salander’s innocence, plunges into an investigation of the slayings, Salander herself is drawn into a murderous hunt in which she is the prey, and which compels her to revisit her dark past in an effort to settle with it once and for all.","#<Hashie::Mash best_book_id=5060378 books_count=178 default_chaptering_book_id=nil default_description_language_code=nil desc_user_id=7629787 id=6976108 media_type=""book"" original_language_id=nil original_publication_day=9 original_publication_month=5 original_publication_year=2006 original_title=""Flickan som lekte med elden"" rating_dist=""5:208453|4:206060|3:74064|2:12785|1:3209|total:504571"" ratings_count=504571 ratings_sum=2117476 reviews_count=659989 text_reviews_count=28889>",503,Hardcover,http://www.goodreads.com/book/show/5060378-the-girl-who-played-with-fire,http://www.goodreads.com/book/show/5060378-the-girl-who-played-with-fire,"[""Stieg Larsson"", ""Reg Keeland""]","#<Hashie::Mash series_work=#<Hashie::Mash id=""172668"" series=#<Hashie::Mash description=""\n\n    <b>Also known as:\n    * Millenium \n    * Millénium\n    * Milenium\n    * Милениум\n    * 밀레니엄 \n    * ミレニアム\n    * Trilogia Millennium\n    * Millenium triologie\n    See also</b> <a href=\""http://www.goodreads.com/series/92001-millennium-the-graphic-novels\"">Millennium: The Graphic Novels</a>.\n\n"" id=""44598"" note=""\n\n    DO NOT REMOVE BOOKS FROM THIS SERIES WITHOUT ASKING IN THE LIBRARIAN GROUP FIRST.\n\n"" numbered=""true"" primary_work_count=""4"" series_works_count=""11"" title=""\n\n    Millennium\n\n""> user_position=""2"">>"
"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",6892870,030726999X,9780307269997,"",http://d.gr-assets.com/books/1327708260m/6892870.jpg,2010,5,25,Knopf,en-US,"The stunning third and final novel in Stieg Larsson's internationally best-selling trilogy.<br><br>Lisbeth Salander - the heart of Larsson's two previous novels - lies in critical condition, a bullet wound to her head, in the intensive care unit of a Swedish city hospital. She's fighting for her life in more ways than one: if and when she recovers, she'll be taken back to Stockholm to stand trial for three murders. With the help of her friend, journalist Mikael Blomkvist, she will not only have to prove her innocence, but also identify and denounce those in authority who have allowed the vulnerable, like herself, to suffer abuse and violence. And, on her own, she will plot revenge - against the man who tried to kill her, and the corrupt government institutions that very nearly destroyed her life.<br><br>Once upon a time, she was a victim. Now Salander is fighting back.","#<Hashie::Mash best_book_id=6892870 books_count=158 default_chaptering_book_id=6892870 default_description_language_code=nil desc_user_id=13744607 id=12883496 media_type=""book"" original_language_id=nil original_publication_day=1 original_publication_month=5 original_publication_year=2007 original_title=""Luftslottet som sprängdes"" rating_dist=""5:172346|4:164324|3:64984|2:12456|1:2999|total:417109"" ratings_count=417109 ratings_sum=1741889 reviews_count=566176 text_reviews_count=24561>",563,Hardcover,http://www.goodreads.com/book/show/6892870-the-girl-who-kicked-the-hornet-s-nest,http://www.goodreads.com/book/show/6892870-the-girl-who-kicked-the-hornet-s-nest,"[""Stieg Larsson"", ""Reg Keeland""]","#<Hashie::Mash series_work=#<Hashie::Mash id=""177136"" series=#<Hashie::Mash description=""\n\n    <b>Also known as:\n    * Millenium \n    * Millénium\n    * Milenium\n    * Милениум\n    * 밀레니엄 \n    * ミレニアム\n    * Trilogia Millennium\n    * Millenium triologie\n    See also</b> <a href=\""http://www.goodreads.com/series/92001-millennium-the-graphic-novels\"">Millennium: The Graphic Novels</a>.\n\n"" id=""44598"" note=""\n\n    DO NOT REMOVE BOOKS FROM THIS SERIES WITHOUT ASKING IN THE LIBRARIAN GROUP FIRST.\n\n"" numbered=""true"" primary_work_count=""4"" series_works_count=""11"" title=""\n\n    Millennium\n\n""> user_position=""3"">>"
A Brief History of Time,3869,0553380168,9780553380163,"",http://d.gr-assets.com/books/1333578746m/3869.jpg,1998,9,1,Bantam Books,eng,"From the time of the ancient Greeks through the present time, this historical overview of cosmology is told by one of the most famous and fascinating scientists today.<br><br>In the ten years since its publication in 1988, Stephen Hawking's book has become a landmark volume in scientific writing, with more than nine million copies sold worldwide.  That edition was on the cutting edge of what was then known about the nature of the universe.  But the last decade has seen extraordinary advances in the technology of observing both the micro- and the macrocosmic worlds, confirming many of Professor Hawking's theoretical predictions.  Eager to bring to his original text the new knowledge revealed by these observations, he has written a new introduction, updated the original chapters throughout, and added an entirely new chapter on the fascinating subject of wormholes and time travel.","#<Hashie::Mash best_book_id=3869 books_count=198 default_chaptering_book_id=nil default_description_language_code=nil desc_user_id=17190242 id=2192250 media_type=""book"" original_language_id=nil original_publication_day=1 original_publication_month=1 original_publication_year=1988 original_title=""A Brief History of Time: From the Big Bang to Black Holes"" rating_dist=""5:52116|4:53779|3:24715|2:4923|1:1981|total:137514"" ratings_count=137514 ratings_sum=561668 reviews_count=267505 text_reviews_count=3474>",212,Paperback,http://www.goodreads.com/book/show/3869.A_Brief_History_of_Time,http://www.goodreads.com/book/show/3869.A_Brief_History_of_Time,,
