book_title,isbn,description
Rework,0307463745,"Most business books give you the same old advice: Write a business plan, study the competition, seek investors, yadda yadda. If you're looking for a book like that, put this one back on the shelf.<br><br><em>Rework </em>shows you a better, faster, easier way to succeed in business. Read it and you'll know why plans are actually harmful, why you don't need outside investors, and why you're better off ignoring the competition. The truth is, you need less than you think. You don't need to be a workaholic. You don't need to staff up. You don't need to waste time on paperwork or meetings. You don't even need an office. Those are all just excuses. <br><br> What you really need to do is stop talking and start working. This book shows you the way. You'll learn how to be more productive, how to get exposure without breaking the bank, and tons more counterintuitive ideas that will inspire and provoke you.<br><br>With its straightforward language and easy-is-better approach, <em>Rework </em>is the perfect playbook for anyone who’s ever dreamed of doing it on their own. Hardcore entrepreneurs, small-business owners, people stuck in day jobs they hate, victims of ""downsizing,"" and artists who don’t want to starve anymore will all find valuable guidance in these pages."
Nurture Shock: New Thinking About Children,0446559415,"In a world of modern, involved, caring parents, why are so many kids aggressive and cruel?  Where is intelligence hidden in the brain, and why does that matter?  Why do cross-racial friendships decrease in schools that are more integrated?  If 98% of kids think lying is morally wrong, then why do 98% of kids lie?  What's the single most important thing that helps infants learn language?<br><br><em>NurtureShock</em> is a groundbreaking collaboration between award-winning science journalists Po Bronson and Ashley Merryman.  They argue that when it comes to children, we've mistaken good intentions for good ideas.  With impeccable storytelling and razor-sharp analysis, they demonstrate that many of modern society's strategies for nurturing children are in fact backfiring--because key twists in the science have been overlooked.<br><br>Nothing like a parenting manual, the authors' work is an insightful exploration of themes and issues that transcend children's (and adults') lives."
A Thousand Splendid Suns,1594489505,"After 103 weeks on the New York Times bestseller list and with four million copies of The Kite Runner shipped, Khaled Hosseini returns with a beautiful, riveting, and haunting novel that confirms his place as one of the most important literary writers today.<br><br>Propelled by the same superb instinct for storytelling that made The Kite Runner a beloved classic, A Thousand Splendid Suns is at once an incredible chronicle of thirty years of Afghan history and a deeply moving story of family, friendship, faith, and the salvation to be found in love.<br><br>Born a generation apart and with very different ideas about love and family, Mariam and Laila are two women brought jarringly together by war, by loss and by fate. As they endure the ever escalating dangers around them—in their home as well as in the streets of Kabul—they come to form a bond that makes them both sisters and mother-daughter to each other, and that will ultimately alter the course not just of their own lives but of the next generation. With heart-wrenching power and suspense, Hosseini shows how a woman’s love for her family can move her to shocking and heroic acts of self-sacrifice, and that in the end it is love, or even the memory of love, that is often the key to survival.<br><br>A stunning accomplishment, A Thousand Splendid Suns is a haunting, heartbreaking, compelling story of an unforgiving time, an unlikely friendship, and an indestructible love."
Bonk: The Curious Coupling of Science and Sex,0393064646,"The study of sexual physiology - what happens, and why, and how to make it happen better - has been a paying career or a diverting sideline for scientists as far-ranging as Leonardo da Vinci and James Watson. The research has taken place behind the closed doors of laboratories, brothels, MRI centers, pig farms, sex-toy R&amp;D labs, and Alfred Kinsey's attic.<br><br>Mary Roach, ""the funniest science writer in the country"" (Burkhard Bilger of 'The New Yorker'), devoted the past two years to stepping behind those doors. Can a person think herself to orgasm? Can a dead man get an erection? Is vaginal orgasm a myth? Why doesn't Viagra help women or, for that matter, pandas? <br><br>In 'Bonk', Roach shows us how and why sexual arousal and orgasm, two of the most complex, delightful, and amazing scientific phenomena on earth, can be so hard to achieve and what science is doing to slowly make the bedroom a more satisfying place. 16 illustrations."
"The Girl with the Dragon Tattoo (Millennium, #1)",0307269752,"Mikael Blomkvist, a once-respected financial journalist, watches his professional life rapidly crumble around him. Prospects appear bleak until an unexpected (and unsettling) offer to resurrect his name is extended by an old-school titan of Swedish industry. The catch—and there's always a catch—is that Blomkvist must first spend a year researching a mysterious disappearance that has remained unsolved for nearly four decades. With few other options, he accepts and enlists the help of investigator Lisbeth Salander, a misunderstood genius with a cache of authority issues. Little is as it seems in Larsson's novel, but there is at least one constant: you really don't want to mess with the girl with the dragon tattoo."
Naked,0316777730,"Welcome to the hilarious, strange, elegiac, outrageous world of David Sedaris. In Naked, Sedaris turns the mania for memoir on its ear, mining the exceedingly rich terrain of his life, his family, and his unique worldview-a sensibility at once take-no-prisoners sharp and deeply charitable. A tart-tongued mother does dead-on imitations of her young son's nervous tics, to the great amusement of his teachers; a stint of Kerouackian wandering is undertaken (of course!) with a quadriplegic companion; a family gathers for a wedding in the face of imminent death. Through it all is Sedaris's unmistakable voice, without doubt one of the freshest in American writing."
The Fortune Cookie Chronicles: Adventures in the World of Chinese Food,0446580074,"""If you think McDonald's is the most ubiquitous restaurant experience in America, consider that there are more Chinese restaurants in America than McDonalds, Burger Kings, and Wendys <em>combined</em>."" <br>— Jennifer 8 Lee, New York Times reporter and Chinese-American (or American-born Chinese).<br><br>In her search, Jennifer 8 Lee traces the history of Chinese-American experience through the lens of the food. In a compelling blend of sociology and history, Jenny Lee exposes the indentured servitude Chinese restaurants expect from illegal immigrant chefs, investigates the relationship between Jews and Chinese food, and weaves a personal narrative about her own relationship with Chinese food. <br><br><em>The Fortune Cookie Chronicles</em> speaks to the immigrant experience as a whole, and the way it has shaped our country."
"The Girl Who Played with Fire (Millennium, #2)",0307269981,"Mikael Blomkvist, crusading journalist and publisher of the magazine <em>Millennium,</em> has decided to run a story that will expose an extensive sex trafficking operation between Eastern Europe and Sweden, implicating well-known and highly placed members of Swedish society, business, and government.<br><br>But he has no idea just how explosive the story will be until, on the eve of publication, the two investigating reporters are murdered. And even more shocking for Blomkvist: the fingerprints found on the murder weapon belong to Lisbeth Salander—the troubled, wise-beyond-her-years genius hacker who came to his aid in <em>The Girl with the Dragon Tattoo,</em> and who now becomes the focus and fierce heart of <em>The Girl Who Played with Fire.</em><br><br>As Blomkvist, alone in his belief in Salander’s innocence, plunges into an investigation of the slayings, Salander herself is drawn into a murderous hunt in which she is the prey, and which compels her to revisit her dark past in an effort to settle with it once and for all."
"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",030726999X,"The stunning third and final novel in Stieg Larsson's internationally best-selling trilogy.<br><br>Lisbeth Salander - the heart of Larsson's two previous novels - lies in critical condition, a bullet wound to her head, in the intensive care unit of a Swedish city hospital. She's fighting for her life in more ways than one: if and when she recovers, she'll be taken back to Stockholm to stand trial for three murders. With the help of her friend, journalist Mikael Blomkvist, she will not only have to prove her innocence, but also identify and denounce those in authority who have allowed the vulnerable, like herself, to suffer abuse and violence. And, on her own, she will plot revenge - against the man who tried to kill her, and the corrupt government institutions that very nearly destroyed her life.<br><br>Once upon a time, she was a victim. Now Salander is fighting back."
A Brief History of Time,0553380168,"From the time of the ancient Greeks through the present time, this historical overview of cosmology is told by one of the most famous and fascinating scientists today.<br><br>In the ten years since its publication in 1988, Stephen Hawking's book has become a landmark volume in scientific writing, with more than nine million copies sold worldwide.  That edition was on the cutting edge of what was then known about the nature of the universe.  But the last decade has seen extraordinary advances in the technology of observing both the micro- and the macrocosmic worlds, confirming many of Professor Hawking's theoretical predictions.  Eager to bring to his original text the new knowledge revealed by these observations, he has written a new introduction, updated the original chapters throughout, and added an entirely new chapter on the fascinating subject of wormholes and time travel."
Coming and Crying,0615384943,"from the Introduction:<br><br>We knew from our earliest conversations that Coming &amp; Crying was meant not to be erotic but true. We wanted to make a book that charged people with telling real stories about sex but didn't pressure them to turn anyone on. Coming &amp; Crying aims not for conclusions about sex but for the truth that is found in our shared experience of it. We recognize each other as human not through a singular narrative, but in our own particular stories.<br><br>There are twenty-four stories in this book and we hope all of them will knock you out or wake you up or make you feel less alone. You'll encounter at least twenty-four people in a way one does not usually. Some of the names you'll recognize, because they are established writers or your friends or people you follow on the Internet already. That's how we know them, too."
"The Art of Non-Conformity: Set Your Own Rules, Live the Life You Want, and Change the World",1101443081,"If you've ever thought, ""There must be more to life than this,"" ""The Art of Non-Conformity"" is for you.<br><br>Based on Chris Guillebeau's popular online manifesto ""A Brief Guide to World Domination,"" ""The Art of Non-Conformity"" defies common assumptions about life and work while arming you with the tools to live differently. You'll discover how to live on your own terms by exploring creative self-employment, radical goal-setting, contrarian travel, and embracing life as a constant adventure.<br><br>Inspired and guided by Chris's own story and those of others who have pursued unconventional lives, you can devise your own plan for world domination-and make the world a better place at the same time."
"Zen Mind, Beginner's Mind: Informal Talks on Zen Meditation and Practice",0834800799,"A respected Zen master in Japan &amp; founder of the San Francisco Zen Center, Shunryu Suzuki has blazed a path in American Buddhism like few others. He is the master who climbs down from the pages of the <em>koan</em> books &amp; answers your questions face to face. If not face to face, you can at least find the answers as recorded in <em>Zen Mind, Beginner's Mind</em>, a transcription of juicy excerpts from his lectures. From diverse topics such as transience of the world, sudden enlightenment, &amp; the nuts &amp; bolts of meditation, Suzuki always returns to the idea of beginner's mind, a recognition that our original nature is our true nature. With beginner's mind, we dedicate ourselves to sincere practice, without the thought of gaining anything special. Day to day life becomes our Zen training, &amp; we discover that ""to study Buddhism is to study ourselves."" &amp; to know our true selves is to be enlightened.--Brian Bruya"
The Tipping Point: How Little Things Can Make a Big Difference,0316346624,"The tipping point is that magic moment when an idea, trend, or social behavior crosses a threshold, tips, and spreads like wildfire. Just as a single sick person can start an epidemic of the flu, so too can a small but precisely targeted push cause a fashion trend, the popularity of a new product, or a drop in the crime rate. This widely acclaimed bestseller, in which Malcolm Gladwell explores and brilliantly illuminates the tipping point phenomenon, is already changing the way people throughout the world think about selling products and disseminating ideas.<br><br>Gladwell introduces us to the particular personality types who are natural pollinators of new ideas and trends, the people who create the phenomenon of word of mouth. He analyzes fashion trends, smoking, children's television, direct mail, and the early days of the American Revolution for clues about making ideas infectious, and visits a religious commune, a successful high-tech company, and one of the world's greatest salesmen to show how to start and sustain social epidemics."
